OTU_26		Root	rootrank	1.0	Bacteria	domain	0.97	"Proteobacteria"	phylum	0.36	Gammaproteobacteria	class	0.16	Gammaproteobacteria_incertae_sedis	order	0.08	Candidatus Carsonella	genus	0.06
OTU_27	-	Root	rootrank	1.0	Archaea	domain	0.31	"Crenarchaeota"	phylum	0.15	Thermoprotei	class	0.15	Desulfurococcales	order	0.14	Desulfurococcaceae	family	0.14	Sulfophobococcus	genus	0.14
OTU_28		Root	rootrank	1.0	Bacteria	domain	0.92	"Aquificae"	phylum	0.08	Aquificae	class	0.08	Aquificales	order	0.08	Aquificaceae	family	0.05	Aquifex	genus	0.05
OTU_29		Root	rootrank	1.0	Bacteria	domain	0.84	"Proteobacteria"	phylum	0.41	Alphaproteobacteria	class	0.16	SAR11	family	0.11	Candidatus Pelagibacter	genus	0.11
OTU_30		Root	rootrank	1.0	Bacteria	domain	0.9	"Proteobacteria"	phylum	0.45	Gammaproteobacteria	class	0.19	Gammaproteobacteria_incertae_sedis	order	0.14	Candidatus Carsonella	genus	0.13
OTU_31		Root	rootrank	1.0	Bacteria	domain	0.85	"Proteobacteria"	phylum	0.39	Alphaproteobacteria	class	0.1	SAR11	family	0.08	Candidatus Pelagibacter	genus	0.08
OTU_32	-	Root	rootrank	1.0	Bacteria	domain	0.9	"Planctomycetes"	phylum	0.05	Planctomycetia	class	0.04	Planctomycetales	order	0.03	Planctomycetaceae	family	0.03	Pirellula	genus	0.01
OTU_33		Root	rootrank	1.0	Bacteria	domain	0.89	"Proteobacteria"	phylum	0.35	Alphaproteobacteria	class	0.14	SAR11	family	0.05	Candidatus Pelagibacter	genus	0.05
OTU_34		Root	rootrank	1.0	Bacteria	domain	0.92	"Proteobacteria"	phylum	0.26	Epsilonproteobacteria	class	0.1	Campylobacterales	order	0.1	Helicobacteraceae	family	0.1	Wolinella	genus	0.1
OTU_35		Root	rootrank	1.0	Bacteria	domain	0.93	"Proteobacteria"	phylum	0.38	Alphaproteobacteria	class	0.11	SAR11	family	0.07	Candidatus Pelagibacter	genus	0.07
OTU_36		Root	rootrank	1.0	Bacteria	domain	0.96	"Proteobacteria"	phylum	0.5	Gammaproteobacteria	class	0.3	Gammaproteobacteria_incertae_sedis	order	0.24	Candidatus Carsonella	genus	0.24
OTU_37		Root	rootrank	1.0	Bacteria	domain	0.93	Firmicutes	phylum	0.33	Clostridia	class	0.27	Clostridiales	order	0.26	Clostridiales_incertae_sedis	family	0.08	Proteiniborus	genus	0.08
OTU_38		Root	rootrank	1.0	Bacteria	domain	0.92	"Synergistetes"	phylum	0.06	Synergistia	class	0.06	Synergistales	order	0.06	Synergistaceae	family	0.06	Lactivibrio	genus	0.06
OTU_39		Root	rootrank	1.0	Bacteria	domain	0.85	"Proteobacteria"	phylum	0.27	Epsilonproteobacteria	class	0.08	Campylobacterales	order	0.08	Helicobacteraceae	family	0.08	Wolinella	genus	0.08
OTU_40		Root	rootrank	1.0	Archaea	domain	0.38	Parvarchaeota	phylum	0.02	Candidatus Parvarchaeum	genus	0.02
