sample	Raw_reads	Raw_mean_length	Raw_median_length	Trimmed	Removed	Host_1_time	Host_>1_time	Phi_phage_1_time	Phi_phage_>1_time	Filtered_reads	Filtered_mean_length	Filtered_median_length	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_proc
ERR2712602	16084	250	250	2771	798	0	0	0	0	15286	248	250	3256	173	116	2	12850	84.06
ERR2712434	42275	250	250	11573	6052	0	2	4	0	36217	244	250	8304	908	736	9	33137	91.5
ERR2712549	22633	250	250	3990	1341	0	0	2	0	21290	248	250	4545	433	241	6	18124	85.13
ERR2712408	56104	250	251	17775	12999	0	0	14	0	43091	238	250	11946	2175	1757	71	40151	93.18
ERR2712650	11326	250	250	1989	1389	1	2	13	0	9921	247	250	1296	26	24	1	9643	97.2
ERR2712619	15010	250	250	2406	907	0	0	0	0	14103	248	250	2660	136	100	0	12376	87.75
ERR2712643	27586	250	250	4872	2845	3	6	85	0	24647	247	250	3305	64	60	0	23552	95.56
ERR2712524	24192	250	250	3650	1198	0	0	0	0	22994	249	250	4965	535	308	8	19973	86.86
ERR2712691	42536	250	250	11655	3628	0	0	0	0	38908	247	250	8967	769	531	5	34467	88.59
ERR2712938	23213	250	250	5676	2058	0	0	0	0	21155	247	250	4932	16	10	1	17675	83.55
ERR2712657	45177	250	250	7816	4744	2	1	62	0	40368	247	250	4954	72	60	2	38234	94.71
ERR2712862	33443	250	251	9977	3108	0	0	2	0	30333	247	250	6486	103	70	2	26271	86.61
ERR2712730	32392	250	250	8367	2569	0	0	1	0	29822	247	250	6663	222	163	0	26392	88.5
ERR2712776	17504	250	250	4558	1447	0	0	0	0	16057	247	250	3424	71	46	2	13852	86.27
ERR2712861	26424	250	250	8152	3090	0	0	0	0	23334	246	250	6841	155	88	0	19081	81.77
ERR2712858	31427	250	250	8272	3432	0	0	0	0	27995	247	250	6391	153	82	3	24382	87.09
ERR2712570	29240	250	250	5055	1408	0	0	1	0	27831	249	250	5234	313	206	2	24416	87.73
ERR2712777	10751	250	250	2654	719	0	0	0	0	10032	247	250	1740	19	14	1	9062	90.33
ERR2712813	24708	250	250	5832	1909	0	0	0	0	22799	247	250	4299	95	73	1	20308	89.07
ERR2712854	40802	250	250	12566	3250	0	0	0	0	37552	247	250	8665	217	148	8	32564	86.72
ERR2712665	19725	250	250	3274	2210	2	0	79	0	17434	247	250	2271	32	27	2	16860	96.71
ERR2712422	36395	250	250	10017	6710	0	0	7	0	29678	242	250	6096	926	838	23	28523	96.11
ERR2712707	37608	250	250	10311	3244	0	0	0	0	34364	247	250	7154	240	162	0	29792	86.7
ERR2712468	43691	250	250	11295	6130	1	0	15	0	37545	246	250	7029	279	243	6	35462	94.45
ERR2712792	20847	250	251	6274	2546	0	0	0	0	18301	245	250	5409	245	125	1	14268	77.96
ERR2712512	29547	250	250	5870	1501	0	0	0	0	28046	248	250	7058	906	532	3	24611	87.75
ERR2712618	17131	250	250	2955	847	0	0	0	0	16284	248	250	3214	143	90	1	14111	86.66
ERR2712587	24696	250	250	4019	1357	0	0	0	0	23339	248	250	5765	303	163	2	19518	83.63
ERR2712555	22631	250	250	3960	1146	0	0	0	0	21485	249	250	4134	387	237	1	18780	87.41
ERR2712687	47358	250	250	11172	5549	0	0	15	0	41794	247	250	5432	207	164	4	40305	96.44
ERR2712480	33192	250	250	8585	5219	0	2	1	0	27970	245	250	6541	150	112	2	24594	87.93
ERR2712455	38927	250	250	11058	6145	0	1	12	0	32769	243	250	5894	231	201	2	30965	94.49
ERR2712748	28853	250	250	6625	1949	0	0	0	0	26904	248	250	5155	186	125	1	24934	92.68
ERR2712515	30106	250	250	5178	1694	0	0	0	0	28412	248	250	6963	892	452	6	23571	82.96
ERR2712554	26265	250	250	4543	1369	0	0	0	0	24896	248	250	3741	358	238	5	22642	90.95
ERR2712723	54649	250	250	16024	4647	0	0	0	0	50002	247	250	13651	255	162	2	40883	81.76
ERR2712423	46691	250	250	14453	9167	0	1	11	0	37512	241	250	7525	741	666	11	35726	95.24
ERR2712607	18398	250	250	3968	1016	0	0	0	0	17382	248	250	3444	155	103	7	15010	86.35
ERR2712749	25763	250	250	7547	1886	0	0	0	0	23877	247	250	4994	80	60	0	20917	87.6
ERR2712658	39524	250	250	9845	5718	2	3	51	0	33750	245	250	5801	105	93	3	31741	94.05
ERR2712625	21330	250	250	3903	1841	0	0	10	0	19479	247	250	2609	90	78	0	18586	95.42
ERR2712502	27507	250	250	5423	1465	0	0	0	0	26042	248	250	6771	1025	632	21	22003	84.49
ERR2712542	16330	250	250	3290	855	0	0	1	0	15474	248	250	4031	350	220	2	13065	84.43
ERR2712912	38598	250	250	8475	2761	0	0	0	0	35837	248	250	7668	74	51	0	30577	85.32
ERR2712493	44106	250	250	7934	3078	0	0	5	0	41023	248	250	11883	2137	1189	16	33725	82.21
ERR2712885	19501	250	250	4929	1467	0	1	0	0	18033	247	250	3533	35	26	0	15928	88.33
ERR2712617	22588	250	250	4378	1056	0	0	0	0	21532	248	250	4051	237	152	2	19058	88.51
ERR2712586	15487	250	250	2937	808	0	0	0	0	14679	248	250	3457	188	116	2	12023	81.91
ERR2712710	30647	250	250	7383	2633	0	0	1	0	28013	247	250	4336	125	95	2	25895	92.44
ERR2712724	48343	250	250	14826	4040	0	0	0	0	44303	246	250	12509	233	161	8	37054	83.64
ERR2712490	42948	250	250	7628	2385	0	0	1	0	40562	248	250	13941	2570	1426	42	32635	80.46
ERR2712934	23096	250	250	6442	1927	0	0	0	0	21169	247	250	4451	20	11	1	18010	85.08
ERR2712413	42430	250	250	12768	7498	0	0	18	0	34914	242	250	7388	1118	990	11	33234	95.19
ERR2712711	45550	250	250	15785	5522	0	0	1	0	40027	244	250	9292	270	184	1	34327	85.76
ERR2712642	13566	250	250	2468	1596	1	1	56	0	11912	247	250	1722	51	47	3	11476	96.34
ERR2712649	14972	250	250	2703	2091	3	5	23	0	12850	248	250	1810	23	20	0	12324	95.91
ERR2712856	23303	250	250	5925	1740	0	0	0	0	21563	247	250	5541	73	46	0	17873	82.89
ERR2712729	32270	250	250	7648	3043	0	0	0	0	29227	247	250	9887	274	180	7	23911	81.81
ERR2712584	22605	250	250	3587	1419	0	0	1	0	21185	248	250	4015	248	149	3	18380	86.76
