sample	Raw_reads	Raw_mean_length	Raw_median_length	Trimmed	Removed	Host_1_time	Host_>1_time	Phi_phage_1_time	Phi_phage_>1_time	Filtered_reads	Filtered_mean_length	Filtered_median_length	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_proc
ERR2712803	5264	250	250	1290	376	0	0	0	0	4888	247	250	1264	25	16	0	4075	83.37
ERR2712497	40711	250	250	6611	2519	0	0	2	0	38190	248	250	10897	1906	1051	19	31457	82.37
ERR2712837	19728	250	250	6096	1735	0	0	0	0	17993	247	250	4276	46	32	0	15478	86.02
ERR2712823	10915	250	250	2845	829	0	0	0	0	10086	247	250	2191	54	37	0	8959	88.83
ERR2712436	35062	250	250	9347	4795	0	0	8	0	30259	244	250	6499	824	640	6	27760	91.74
ERR2712498	31940	250	250	5729	1683	0	0	0	0	30257	248	250	10523	1269	725	11	22991	75.99
ERR2712681	21624	250	250	5363	1495	0	0	0	0	20129	247	250	4607	142	94	0	17743	88.15
ERR2712475	21788	250	250	5559	1907	0	0	3	0	19878	247	250	4034	864	775	11	19461	97.9
ERR2712731	16137	250	250	4038	1260	0	0	0	0	14877	247	250	2858	64	49	1	13449	90.4
ERR2712599	22933	250	250	4858	1083	0	0	1	0	21849	248	250	4894	211	140	0	18741	85.78
ERR2712795	12219	250	250	3589	824	0	0	0	0	11395	247	250	2284	58	31	0	10155	89.12
ERR2712811	24831	250	250	7348	1814	0	0	1	0	23016	247	250	5364	102	62	0	19851	86.25
ERR2712842	37766	250	250	9939	3446	0	0	0	0	34320	247	250	5700	165	98	3	30493	88.85
ERR2712801	33168	250	250	8557	2183	0	0	0	0	30985	247	250	5390	144	100	1	28305	91.35
ERR2712926	32001	250	250	6739	3191	0	0	0	0	28810	247	250	4393	62	45	1	26840	93.16
ERR2712501	19043	250	250	3202	1083	0	0	0	0	17960	248	250	5335	796	382	13	14074	78.36
ERR2712772	12606	250	250	3555	1169	0	0	0	0	11437	245	250	4061	52	39	0	8729	76.32
ERR2712898	23974	250	250	5827	2045	0	0	0	0	21929	247	250	6317	37	21	1	17453	79.59
ERR2712906	20006	250	250	4744	1494	0	0	0	0	18512	248	250	2641	22	14	0	16799	90.75
ERR2712889	16923	250	250	4852	1415	0	0	2	0	15506	247	250	3490	27	21	3	13286	85.68
ERR2712853	27010	250	250	7196	1931	0	0	0	0	25079	247	250	6315	69	47	1	21222	84.62
ERR2712910	52135	250	250	13717	4390	0	0	1	0	47744	247	250	9871	84	57	2	41565	87.06
ERR2712559	27533	250	250	4507	1980	0	0	0	0	25553	248	250	5786	516	297	1	21723	85.01
ERR2712732	22366	250	250	5650	1797	0	0	0	0	20569	247	250	3633	85	80	4	19696	95.76
ERR2712758	17176	250	250	5361	1768	0	0	0	0	15408	246	250	4182	90	62	0	12794	83.03
ERR2712465	38584	250	250	10109	7048	0	1	18	0	31517	244	250	6005	223	183	5	30051	95.35
ERR2712807	17452	250	250	4865	1237	0	0	1	0	16214	246	250	3544	55	41	0	13629	84.06
ERR2712424	32330	250	250	10187	6186	0	0	2	0	26142	241	250	4963	478	433	7	25192	96.37
ERR2712514	30428	250	250	4843	1753	0	0	1	0	28674	249	250	6980	884	520	6	24284	84.69
ERR2712808	10209	250	250	2942	749	0	0	1	0	9459	247	250	1767	24	18	0	8393	88.73
ERR2712564	19904	250	250	3043	1022	0	0	1	0	18881	249	250	3897	273	166	1	15774	83.54
ERR2712534	20014	250	250	4169	871	0	0	0	0	19143	249	250	3995	386	256	4	16876	88.16
ERR2712804	15235	250	250	4216	1464	0	0	1	0	13770	247	250	3240	91	58	0	11902	86.43
ERR2712521	17790	250	250	2630	856	0	0	0	0	16934	249	250	3206	433	245	3	14758	87.15
ERR2712773	16023	250	250	4669	1448	0	0	0	0	14575	246	250	4559	68	44	0	11302	77.54
ERR2712470	33935	250	250	8567	4849	0	2	16	0	29068	246	250	4737	125	113	0	27754	95.48
ERR2712895	35124	250	250	10470	3126	0	0	2	0	31996	247	250	6564	68	49	1	27989	87.48
ERR2712616	21153	250	250	3603	1138	0	0	1	0	20014	249	250	4822	184	95	2	16655	83.22
ERR2712459	32036	250	250	9778	3999	0	2	6	0	28029	246	250	6410	188	155	2	25583	91.27
ERR2712802	23730	250	250	5140	1502	0	0	15	0	22213	248	250	2449	85	83	3	21968	98.9
ERR2712725	15206	250	250	4171	1070	0	0	0	0	14136	247	250	3603	65	44	0	12084	85.48
ERR2712446	66339	250	250	16594	9861	2	7	4	0	56465	246	250	10361	563	486	10	52965	93.8
ERR2712580	19029	250	250	2892	905	0	0	0	0	18124	249	250	3772	218	128	3	15744	86.87
ERR2712849	33224	250	250	8406	2817	0	0	0	0	30407	247	250	5469	51	36	1	27016	88.85
ERR2712908	24708	250	250	5697	2110	0	0	0	0	22598	247	250	4441	27	19	0	19714	87.24
ERR2712444	35162	250	251	14419	5836	2	1	6	0	29317	243	250	7160	406	387	9	28348	96.69
ERR2712755	22541	250	250	6063	2110	0	0	0	0	20431	246	250	5273	95	64	5	17260	84.48
ERR2712714	36360	250	250	10106	3776	0	0	0	0	32584	246	250	7053	231	167	3	27520	84.46
ERR2712487	27527	250	250	4020	1617	0	0	0	0	25910	248	250	6580	1662	779	28	21967	84.78
ERR2712783	20342	250	250	3977	1350	0	0	1	0	18991	247	250	6063	78	50	4	14307	75.34
ERR2712859	22964	250	250	6343	2057	0	0	0	0	20907	247	250	5718	91	49	0	17044	81.52
ERR2712825	33863	250	250	7764	2967	0	0	0	0	30896	247	250	6926	120	70	4	25936	83.95
ERR2712752	13504	250	250	3605	1000	0	0	0	0	12504	247	250	2225	55	36	1	11264	90.08
ERR2712615	27614	250	250	6340	1719	0	0	0	0	25895	248	250	7945	220	147	11	20558	79.39
ERR2712931	19485	250	250	4922	1757	0	0	0	0	17728	247	250	4180	24	18	1	14902	84.06
ERR2712572	28915	250	250	4523	1439	0	0	0	0	27476	248	250	6637	484	290	4	22516	81.95
ERR2712439	59451	250	250	18259	9292	0	1	11	0	50147	243	250	10423	659	569	5	47063	93.85
ERR2712461	16483	250	250	4624	4084	1	0	1	0	12397	243	250	2359	90	85	1	11650	93.97
ERR2712457	40099	250	250	10842	7431	0	3	12	0	32653	242	250	6119	226	197	2	30692	93.99
ERR2712746	7714	250	250	1965	608	0	0	0	0	7106	247	250	1773	30	24	1	5827	82.0
ERR2712429	16874	250	250	4390	2688	0	0	0	0	14186	244	250	3053	297	220	2	12707	89.57
ERR2712507	22922	250	250	4077	1223	0	0	0	0	21699	248	250	7518	762	377	31	16857	77.69
ERR2712715	43350	250	250	11151	3076	0	0	0	0	40274	247	250	8722	254	177	0	34705	86.17
ERR2712819	22774	250	250	6189	1830	0	0	0	0	20944	247	250	5390	69	40	0	17392	83.04
ERR2712576	20268	250	250	4091	1057	0	0	0	0	19211	248	250	4293	270	158	0	16370	85.21
ERR2712883	19224	250	250	4753	1435	0	0	0	0	17789	248	250	3437	52	23	0	15497	87.12
ERR2712875	11847	250	250	3094	812	0	0	0	0	11035	247	250	2034	38	24	1	9948	90.15
ERR2712628	30078	250	250	6045	3536	2	2	12	0	26526	246	250	4154	151	126	2	24246	91.4
ERR2712847	35386	250	250	9642	4160	0	0	2	0	31224	246	250	6797	249	136	8	27540	88.2
ERR2712917	32423	250	250	7929	2508	0	0	0	0	29915	247	250	6950	43	30	0	24631	82.34
ERR2712553	20754	250	250	3161	1171	0	0	0	0	19583	249	250	3752	309	191	2	17054	87.09
ERR2712676	12393	250	250	2813	923	0	0	1	0	11469	247	250	2905	121	87	0	9833	85.74
ERR2712637	30093	250	250	4829	2608	1	2	20	0	27462	248	250	3504	98	83	6	26580	96.79
ERR2712720	42457	250	250	8039	2177	0	0	0	0	40280	248	250	4443	142	135	1	39495	98.05
ERR2712694	26043	250	250	7120	2253	0	0	0	0	23790	246	250	7224	193	130	4	19144	80.47
ERR2712822	34918	250	250	8686	2781	0	0	0	0	32137	247	250	6459	122	75	0	28098	87.43
ERR2712706	17693	250	250	4391	1238	0	0	0	0	16455	247	250	3491	127	85	1	13806	83.9
ERR2712806	12974	250	250	3095	1033	0	0	0	0	11941	247	250	2191	37	25	0	10821	90.62
