#OTU ID	1ng-25cycles-1_S38_L001_001	1ng-25cycles-2_S39_L001_001	1ng-25cycles-3_S40_L001_001	1ng-30cycles-1_S50_L001_001	1ng-30cycles-2_S51_L001_001	1ng-30cycles-3_S52_L001_001	20ng-20cycles-1_S14_L001_001	20ng-20cycles-2_S15_L001_001	20ng-20cycles-3_S16_L001_001	20ng-25cycles-1_S2_L001_001	20ng-25cycles-2_S3_L001_001	20ng-25cycles-3_S4_L001_001	5ng-25cycles-1_S26_L001_001	5ng-25cycles-2_S27_L001_001	5ng-25cycles-3_S28_L001_001	zero5ng-25cycles-1_S62_L001_001	zero5ng-25cycles-2_S63_L001_001	zero5ng-25cycles-3_S64_L001_001	zero5ng-30cycles-1_S74_L001_001	zero5ng-30cycles-2_S75_L001_001	zero5ng-30cycles-3_S76_L001_001
OTU_1	17452	27133	22628	34080	44295	26503	37448	44573	39161	39050	32932	40607	25728	29573	31779	37086	38992	27499	43560	25485	6836
OTU_10	13	0	12	22	3	5	18	18	11	24	1	12	37	0	22	22	4	16	43	8	3
OTU_11	2	1	3	28	1	2	10	11	1	11	8	8	16	6	20	5	1	9	10	13	3
OTU_12	11	29	14	55	74	41	35	48	20	45	75	62	49	65	41	18	43	19	52	52	4
OTU_13	20	40	34	76	116	38	35	70	51	70	113	79	32	74	72	43	64	24	77	48	5
OTU_14	0	6	3	8	9	8	0	0	0	0	0	0	0	3	0	12	18	5	13	6	0
OTU_15	23	62	30	79	149	57	39	72	59	86	106	100	62	47	51	51	67	34	63	90	10
OTU_16	0	2	0	4	4	0	6	3	2	5	3	1	1	2	6	1	0	2	9	5	0
OTU_17	5	0	0	4	4	0	0	1	2	4	0	7	5	1	1	0	0	1	5	0	0
OTU_18	3	1	0	14	4	0	4	4	9	2	6	4	6	5	3	1	0	1	8	5	2
OTU_19	1	4	3	10	4	2	0	0	1	0	0	0	0	2	1	14	6	1	15	5	3
OTU_2	15860	23646	22078	29667	43537	24072	36479	47320	38806	32012	25103	30496	26135	34793	32500	38523	42830	30774	39737	28634	4774
OTU_20	0	0	0	0	5	1	1	0	2	1	0	5	4	0	0	0	1	1	7	0	0
